Stop_stn,Ride_time,sub
CKI_1,05:48:52,0 days 00:00:00
EFS_1,05:50:11,0 days 00:01:19
DKS_1,05:52:07,0 days 00:03:15
CWV_1,05:54:15,0 days 00:05:23
QQ_1,05:55:34,0 days 00:06:42
BWV_1,05:57:36,0 days 00:08:44
EHW_1,05:58:12,0 days 00:09:20
ACB_1,06:01:19,0 days 00:12:27
BTD_1,06:02:24,0 days 00:13:32
BWD_1,06:09:27,0 days 00:20:35
FBO_1,06:15:11,0 days 00:26:19
AZQ_1,06:16:37,0 days 00:27:45
BXM_1,06:17:29,0 days 00:28:37
BBF_1,06:18:35,0 days 00:29:43
CTY_1,06:20:41,0 days 00:31:49
CRP_1,06:22:44,0 days 00:33:52
AGN_1,06:24:03,0 days 00:35:11
FX_2,06:27:48,0 days 00:38:56
