Stop_stn,Ride_time,sub
DLD_1,07:07:12,0 days 00:19:32
ERE_1,07:11:58,0 days 00:17:17
QB_1,07:14:31,0 days 00:20:36
ABT_1,07:16:36,0 days 00:21:46
EOY_1,07:43:15,0 days 00:48:46
FLV_1,08:27:20,0 days 00:30:07
BRG_1,17:04:17,0 days 00:00:00
EIF_1,17:06:36,0 days 00:02:19
FK_1,17:12:23,0 days 00:08:06
FLW_1,17:16:34,0 days 00:35:56
BII_1,17:21:41,0 days 00:17:24
AHR_1,17:22:55,0 days 00:18:38
DQV_1,17:23:40,0 days 00:19:23
EPB_1,17:24:57,0 days 00:20:40
FW_2,17:28:07,0 days 00:23:50
DRJ_1,17:29:53,0 days 00:25:36
EGM_1,17:30:56,0 days 00:26:39
ECT_1,17:31:42,0 days 00:27:25
AKF_1,17:34:27,0 days 00:30:10
DW_2,17:35:54,0 days 00:31:37
FLX_1,17:38:15,0 days 00:33:58
QB_2,17:45:01,0 days 00:40:44
DZW_1,17:46:03,0 days 00:41:46
BPI_1,17:48:53,0 days 00:44:36
DWQ_1,17:50:13,0 days 00:45:56
EVU_1,17:51:13,0 days 00:46:56
LV_2,17:52:00,0 days 00:47:43
DW_1,17:53:10,0 days 00:48:53
EOE_1,17:54:08,0 days 00:49:51
DZV_1,17:55:58,0 days 00:51:41
RS_1,17:57:36,0 days 00:53:19
OV_2,17:58:40,0 days 00:54:23
DUM_1,18:04:31,0 days 01:00:14
BCM_1,18:58:21,0 days 00:12:03
FK_2,19:38:09,0 days 00:50:12
EXU_1,19:41:30,0 days 00:52:36
