Stop_stn,Ride_time,sub
VH_1,08:17:16,0 days 00:27:17
AJZ_1,08:23:52,0 days 00:35:47
AYX_1,08:30:49,0 days 00:39:36
ESD_1,17:58:28,0 days 00:00:00
IN_2,18:02:35,0 days 00:04:07
AE_3,18:04:24,0 days 00:05:56
WC_1,18:06:26,0 days 00:07:58
DIA_1,18:07:40,0 days 00:09:12
DHI_1,18:09:09,0 days 00:10:41
CT_1,18:10:01,0 days 00:11:33
DJQ_1,18:11:08,0 days 00:12:40
WQ_1,18:11:52,0 days 00:13:24
UU_1,18:13:09,0 days 00:14:41
AEZ_1,18:13:51,0 days 00:15:23
DQI_1,18:14:54,0 days 00:16:26
CEC_1,18:16:40,0 days 00:18:12
AHY_1,18:20:21,0 days 00:21:53
BPQ_1,18:21:08,0 days 00:22:40
DKP_1,18:25:53,0 days 00:27:25
AAJ_1,18:30:22,0 days 00:31:54
AZO_1,18:31:14,0 days 00:32:46
JU_1,18:32:21,0 days 00:33:53
DPK_1,18:32:57,0 days 00:34:29
BVF_1,18:35:40,0 days 00:37:12
BBE_1,18:37:16,0 days 00:38:48
CKY_1,18:41:08,0 days 00:42:40
DMF_1,18:42:40,0 days 00:44:12
MN_1,18:44:23,0 days 00:45:55
CNX_1,18:45:35,0 days 00:47:07
ARU_1,18:47:12,0 days 00:48:44
ESW_1,18:50:47,0 days 00:52:19
FIP_1,18:52:24,0 days 00:53:56
CFP_1,18:56:53,0 days 00:58:25
DEX_1,18:58:21,0 days 00:59:53
ARC_1,19:01:22,0 days 01:02:54
EC_2,19:03:31,0 days 01:05:03
ESN_1,19:05:26,0 days 01:06:58
AJY_1,19:06:54,0 days 01:08:26
DUQ_1,19:07:36,0 days 01:09:08
LG_1,19:10:12,0 days 01:11:44
COC_1,19:11:50,0 days 01:13:22
CTS_1,19:13:17,0 days 01:14:49
FKJ_1,19:14:26,0 days 01:15:58
CKR_1,19:16:15,0 days 01:17:47
BAW_1,19:17:47,0 days 01:19:19
BWO_1,19:20:49,0 days 01:22:21
DT_1,19:23:37,0 days 01:25:09
DPD_1,19:26:01,0 days 01:27:33
BLE_1,19:27:02,0 days 01:28:34
IV_1,19:27:50,0 days 01:29:22
AAK_1,19:29:11,0 days 01:30:43
AOG_1,19:30:18,0 days 02:05:16
DBP_1,19:32:26,0 days 01:33:58
EJD_1,19:33:45,0 days 01:35:17
AWW_1,19:34:40,0 days 01:36:12
BZY_1,19:37:37,0 days 01:39:09
DJI_1,19:40:56,0 days 01:42:28
EHU_1,19:42:23,0 days 01:43:55
CHE_1,19:45:33,0 days 01:47:05
DGS_1,19:46:38,0 days 01:48:10
BEV_1,19:48:00,0 days 01:49:32
AGO_1,19:50:48,0 days 01:52:20
VB_1,19:52:15,0 days 01:53:47
OL_1,19:53:05,0 days 01:54:37
CC_1,19:55:47,0 days 01:57:19
CVR_1,19:58:20,0 days 01:59:52
IU_1,20:01:00,0 days 02:02:32
CZI_1,20:14:45,0 days 01:50:35
