Stop_stn,Ride_time,sub
GY_2,08:05:07,0 days 00:00:00
ASK_1,08:08:29,0 days 00:03:22
CEZ_1,08:09:22,0 days 00:04:15
XE_1,08:10:44,0 days 00:05:37
CEH_1,08:11:51,0 days 00:06:44
CTM_1,08:12:31,0 days 00:07:24
EHN_1,08:14:04,0 days 00:08:57
BVB_1,08:14:53,0 days 00:09:46
BBO_1,08:17:01,0 days 00:11:54
CWC_1,08:17:57,0 days 00:12:50
CQE_1,08:18:33,0 days 00:13:26
WA_1,08:20:48,0 days 00:15:41
AFH_1,08:23:35,0 days 00:18:28
DOQ_1,08:25:56,0 days 00:20:49
EIN_1,08:26:56,0 days 00:21:49
JL_2,08:30:31,0 days 00:25:24
DEB_1,08:32:13,0 days 00:27:06
CNW_1,08:33:42,0 days 00:28:35
DUE_1,08:35:48,0 days 00:30:41
CSA_1,08:36:44,0 days 00:31:37
FI_2,08:38:35,0 days 00:33:28
AWO_1,08:41:36,0 days 00:36:29
VE_1,08:45:02,0 days 00:39:55
EAG_1,08:46:26,0 days 00:41:19
DXO_1,08:48:19,0 days 00:43:12
FA_2,08:49:07,0 days 00:44:00
EZI_1,08:51:48,0 days 00:46:41
X_1,08:52:53,0 days 00:47:46
AKY_1,08:54:04,0 days 00:48:57
BLL_1,08:56:33,0 days 00:51:26
VD_1,08:58:47,0 days 00:53:40
ASL_1,09:00:27,0 days 00:55:20
CII_1,09:03:14,0 days 00:58:07
UD_1,09:04:53,0 days 00:59:46
FBN_1,09:06:12,0 days 01:01:05
BFG_1,09:06:54,0 days 01:01:47
EPK_1,09:08:00,0 days 01:02:53
BCR_1,09:09:21,0 days 01:04:14
DZR_1,09:11:09,0 days 01:06:02
CEG_1,09:13:26,0 days 01:08:19
DTH_1,09:15:19,0 days 01:10:12
DQ_1,09:16:23,0 days 01:11:16
ECD_1,09:18:19,0 days 01:13:12
BZW_1,09:20:11,0 days 01:15:04
ASR_1,09:22:04,0 days 01:16:57
DDT_1,09:23:26,0 days 01:18:19
DHR_1,09:24:48,0 days 01:19:41
DCF_1,09:27:28,0 days 01:22:21
ELQ_1,09:28:56,0 days 01:23:49
EHD_1,09:30:00,0 days 01:24:53
AZE_1,09:31:11,0 days 01:26:04
CTF_1,09:32:09,0 days 01:27:02
OW_1,09:36:47,0 days 01:31:40
AGC_1,09:38:12,0 days 01:33:05
DZT_1,09:41:08,0 days 01:36:01
LK_2,09:47:59,0 days 01:28:14
AFL_1,10:22:29,0 days 01:30:21
EKD_1,16:22:24,0 days 01:25:58
AXS_1,17:12:09,0 days 00:09:16
CVS_1,17:12:58,0 days 00:09:32
DKJ_1,18:07:13,0 days 01:05:04
