Stop_stn,Ride_time,sub
AAG_1,07:19:58,0 days 00:00:00
JC_1,07:22:59,0 days 00:03:01
JC_2,07:25:01,0 days 00:05:03
NZ_2,07:27:11,0 days 00:07:13
CQ_3,07:28:27,0 days 00:08:29
MU_2,07:29:51,0 days 00:09:53
UG_1,07:32:07,0 days 00:12:09
ANF_1,07:34:08,0 days 00:14:10
ENX_1,07:38:13,0 days 00:18:15
ALA_1,07:39:39,0 days 00:19:41
DVG_1,07:40:38,0 days 00:20:40
DUC_1,07:42:10,0 days 00:22:12
APF_1,07:44:12,0 days 00:24:14
CRO_1,07:45:24,0 days 00:25:26
DOI_1,07:46:21,0 days 00:26:23
AMI_1,07:47:29,0 days 00:27:31
DJW_1,07:47:51,0 days 00:27:53
BLW_1,07:51:56,0 days 00:31:58
DNX_1,07:54:34,0 days 00:34:36
CCS_1,07:56:06,0 days 00:36:08
BQW_1,07:59:02,0 days 00:39:04
EEQ_1,08:02:43,0 days 00:42:45
AVJ_1,08:03:02,0 days 00:43:04
EDF_1,08:07:02,0 days 00:47:04
AHJ_1,08:08:56,0 days 00:48:58
