Stop_stn,Ride_time,sub
OO_1,07:36:04,0 days 00:52:39
KI_1,10:45:01,0 days 00:00:00
AMD_1,10:48:42,0 days 00:03:41
CV_3,10:49:53,0 days 00:04:52
CPG_1,10:51:38,0 days 00:06:37
AGG_1,10:53:09,0 days 00:08:08
XG_1,10:54:44,0 days 00:09:43
BWM_1,10:56:15,0 days 00:11:14
BMI_1,10:59:25,0 days 00:14:24
NB_2,11:01:29,0 days 00:16:28
AT_2,11:03:56,0 days 00:18:55
EIO_1,11:06:02,0 days 00:21:01
EKP_1,11:07:01,0 days 00:22:00
OO_2,11:08:48,0 days 00:23:47
CFR_1,11:10:40,0 days 00:25:39
K_4,11:12:56,0 days 00:27:55
AD_4,11:13:49,0 days 00:28:48
FNA_1,11:15:16,0 days 00:30:15
EG_2,11:18:41,0 days 00:33:40
CGI_1,11:19:52,0 days 00:34:51
BC_2,11:20:56,0 days 00:35:55
DZC_1,11:21:33,0 days 00:36:32
D_4,11:22:33,0 days 00:37:32
GH_2,11:23:55,0 days 00:38:54
AUD_1,11:25:33,0 days 00:40:32
AAB_1,11:29:01,0 days 00:44:00
ESJ_1,11:30:40,0 days 00:45:39
BEL_1,11:31:25,0 days 00:46:24
AZ_3,11:33:32,0 days 00:48:31
CSW_1,11:35:00,0 days 00:49:59
SZ_1,11:35:47,0 days 00:50:46
DHO_1,11:37:14,0 days 00:52:13
FKG_1,13:37:18,0 days 00:03:44
AE_4,14:12:32,0 days 00:38:35
AWZ_1,18:48:12,0 days 00:23:59
BQK_1,18:48:40,0 days 00:23:37
