Stop_stn,Ride_time,sub
FCM_1,07:21:19,0 days 00:14:20
FCI_1,11:39:56,0 days 00:00:00
DEL_1,11:46:50,0 days 00:06:54
EGW_1,11:47:28,0 days 00:07:32
ACO_1,11:48:49,0 days 00:08:53
BTW_1,11:52:06,0 days 00:12:10
BNF_1,11:53:14,0 days 00:13:18
BPP_1,11:54:23,0 days 00:14:27
CSZ_1,11:55:08,0 days 00:15:12
DEU_1,11:55:38,0 days 00:15:42
QF_1,11:57:29,0 days 00:17:33
CWF_1,11:58:36,0 days 00:18:40
FLK_1,12:02:59,0 days 00:23:03
IQ_2,12:03:53,0 days 00:23:57
MK_1,12:06:15,0 days 00:26:19
EGX_1,12:07:12,0 days 00:27:16
ABF_1,12:08:06,0 days 00:28:10
CAP_1,12:08:49,0 days 00:28:53
FAZ_1,12:12:36,0 days 00:32:40
CLV_1,19:46:54,0 days 00:11:56
LB_2,19:52:24,0 days 00:15:07
EGI_1,19:56:52,0 days 00:17:08
AJR_1,20:01:59,0 days 00:21:45
