Stop_stn,Ride_time,sub
AJW_1,06:58:33,0 days 00:00:00
I_5,06:59:56,0 days 00:01:23
CGG_1,07:01:41,0 days 00:03:08
HE_2,07:02:43,0 days 00:04:10
EML_1,07:04:34,0 days 00:06:01
DNO_1,07:05:21,0 days 00:06:48
EQK_1,07:09:07,0 days 00:10:34
DYD_1,07:12:39,0 days 00:14:06
L_4,07:19:30,0 days 00:20:57
DVS_1,07:20:41,0 days 00:22:08
AMG_1,07:23:09,0 days 00:24:36
BHN_1,07:25:47,0 days 00:27:14
VW_1,07:26:59,0 days 00:28:26
EJU_1,07:28:05,0 days 00:29:32
EYR_1,07:29:30,0 days 00:30:57
VQ_1,07:31:56,0 days 00:33:23
CGR_1,07:36:25,0 days 00:37:52
DAH_1,07:39:12,0 days 00:40:39
