Stop_stn,Ride_time,sub
BLV_1,07:31:21,0 days 00:06:08
PP_2,07:38:30,0 days 00:00:00
E_4,07:40:13,0 days 00:01:43
BO_3,07:41:23,0 days 00:02:53
ARI_1,07:41:56,0 days 00:16:19
CXO_1,07:48:52,0 days 00:10:22
DPT_1,07:51:19,0 days 00:12:49
BRP_1,07:52:27,0 days 00:13:57
BIA_1,07:53:11,0 days 00:14:41
ELB_1,07:55:50,0 days 00:17:20
CWT_1,07:57:30,0 days 00:19:00
AQT_1,07:59:12,0 days 00:20:42
EBJ_1,08:00:29,0 days 00:21:59
BBO_1,08:01:57,0 days 00:23:27
CWC_1,08:03:31,0 days 00:25:01
CQE_1,08:04:42,0 days 00:26:12
WA_1,08:06:31,0 days 00:28:01
AFH_1,08:09:22,0 days 00:30:52
DOQ_1,08:11:38,0 days 00:33:08
EIN_1,08:12:59,0 days 00:34:29
JL_2,08:15:42,0 days 00:37:12
BED_1,08:26:51,0 days 00:48:21
BZI_1,08:27:39,0 days 01:03:38
EQO_1,08:31:48,0 days 00:53:18
PK_1,08:33:35,0 days 00:55:05
EQN_1,08:35:24,0 days 00:56:54
LQ_1,08:36:20,0 days 00:57:50
BRE_1,08:40:30,0 days 01:02:00
DFE_1,08:43:23,0 days 01:04:53
EPU_1,08:44:15,0 days 01:05:45
DLN_1,08:48:39,0 days 01:10:09
