Stop_stn,Ride_time,sub
GY_2,13:44:33,0 days 00:00:00
PM_1,13:48:04,0 days 00:03:31
DRW_1,13:49:51,0 days 00:05:18
CPX_1,13:51:23,0 days 00:06:50
DWI_1,13:52:52,0 days 00:08:19
GR_1,13:58:12,0 days 00:13:39
FKA_1,14:02:55,0 days 00:18:22
BVM_1,14:05:52,0 days 00:21:19
PY_2,14:07:10,0 days 00:22:37
XM_1,14:32:03,0 days 00:47:30
PY_1,14:41:55,0 days 00:57:22
VT_1,14:43:04,0 days 00:58:31
CQS_1,14:43:48,0 days 00:59:15
DEQ_1,14:44:37,0 days 01:00:04
GR_2,14:48:15,0 days 01:03:42
N_5,14:50:41,0 days 01:06:08
IS_2,14:51:33,0 days 01:07:00
CF_3,14:52:46,0 days 01:08:13
PM_2,14:54:15,0 days 01:09:42
