Stop_stn,Ride_time,sub
CPW_1,08:19:23,0 days 00:41:57
FX_2,19:13:07,0 days 00:00:00
AHE_1,19:19:21,0 days 00:06:14
DRM_1,19:20:53,0 days 00:07:46
ARE_1,19:25:58,0 days 00:12:51
BIO_1,19:28:10,0 days 00:15:03
EFP_1,19:29:21,0 days 00:16:14
FZ_1,19:31:43,0 days 00:18:36
AKZ_1,19:32:44,0 days 00:19:37
GR_2,19:35:08,0 days 00:22:01
N_5,19:37:21,0 days 00:24:14
IS_2,19:39:04,0 days 00:25:57
CF_3,19:41:27,0 days 00:28:20
PM_2,19:43:20,0 days 00:30:13
BAC_1,19:45:40,0 days 00:32:33
CMV_1,19:47:33,0 days 00:34:26
CYB_1,19:48:35,0 days 00:35:28
BOJ_1,19:51:08,0 days 00:38:01
DVF_1,19:54:01,0 days 00:40:54
AJD_1,19:55:13,0 days 00:42:06
DOU_1,19:58:02,0 days 00:44:55
EWV_1,19:59:12,0 days 00:46:05
CAG_1,20:00:12,0 days 00:47:05
CMN_1,20:01:07,0 days 00:48:00
CZY_1,20:03:20,0 days 00:50:13
UK_1,20:06:02,0 days 00:52:55
XJ_1,20:07:50,0 days 00:54:43
AQJ_1,20:10:14,0 days 00:57:07
DEB_1,20:14:23,0 days 01:01:16
CNW_1,20:15:41,0 days 01:02:34
DUE_1,20:18:08,0 days 01:05:01
CSA_1,20:19:02,0 days 01:05:55
FI_2,20:20:25,0 days 01:07:18
AWO_1,20:22:19,0 days 01:09:12
VE_1,20:26:09,0 days 01:13:02
EAG_1,20:27:30,0 days 01:14:23
AEU_1,20:29:41,0 days 01:16:34
ENQ_1,20:32:46,0 days 01:19:39
U_4,20:37:18,0 days 01:24:11
QQ_1,20:38:24,0 days 01:25:17
BWV_1,20:40:02,0 days 01:26:55
EHW_1,20:40:53,0 days 01:27:46
BPB_1,20:42:07,0 days 01:29:00
BKA_1,20:43:42,0 days 01:30:35
ST_1,20:44:55,0 days 01:31:48
CVN_1,20:47:11,0 days 01:34:04
DWR_1,20:48:26,0 days 01:35:19
KY_2,20:51:01,0 days 01:37:54
