Stop_stn,Ride_time,sub
COZ_1,07:36:36,0 days 00:00:00
CRI_1,07:41:04,0 days 00:04:28
EYG_1,07:41:53,0 days 00:05:17
CWI_1,07:43:59,0 days 00:07:23
DXG_1,07:47:10,0 days 00:10:34
PE_1,07:51:26,0 days 00:14:50
DZS_1,07:52:21,0 days 00:15:45
BT_1,07:53:15,0 days 00:16:39
EGK_1,07:53:35,0 days 00:27:44
CY_2,07:54:16,0 days 00:17:40
EEH_1,07:55:28,0 days 00:18:52
EYF_1,07:58:14,0 days 00:21:38
FCM_1,07:59:21,0 days 00:22:45
CNB_1,08:02:32,0 days 00:25:56
BFV_1,08:05:28,0 days 00:28:52
AMA_1,08:09:29,0 days 00:32:53
ACY_1,08:10:38,0 days 00:34:02
BWB_1,08:12:00,0 days 00:35:24
EMD_1,08:13:03,0 days 00:36:27
EL_1,08:14:30,0 days 00:37:54
DQH_1,08:15:28,0 days 00:38:52
BUY_1,08:16:47,0 days 00:40:11
DNR_1,08:17:51,0 days 00:41:15
CHD_1,08:18:50,0 days 00:42:14
DMW_1,08:18:51,0 days 00:53:07
EVL_1,08:19:38,0 days 00:43:02
AMT_1,08:22:26,0 days 00:45:50
HQ_2,08:23:32,0 days 00:46:56
AHH_1,08:25:37,0 days 00:49:01
