Stop_stn,Ride_time,sub
ALW_1,06:02:01,0 days 00:00:00
BMT_1,06:02:55,0 days 00:00:54
CLC_1,06:04:03,0 days 00:02:02
DAK_1,06:05:52,0 days 00:03:51
H_4,06:07:16,0 days 00:05:15
DRY_1,06:08:46,0 days 00:06:45
P_3,06:09:50,0 days 00:07:49
AJ_3,06:10:49,0 days 00:08:48
CKV_1,06:11:40,0 days 00:09:39
EGH_1,06:13:00,0 days 00:10:59
BIM_1,06:15:03,0 days 00:13:02
D_4,06:16:16,0 days 00:14:15
B_5,06:18:29,0 days 00:16:28
EEO_1,06:20:12,0 days 00:18:11
BB_3,06:22:32,0 days 00:20:31
DSS_1,06:24:12,0 days 00:22:11
EZT_1,06:25:20,0 days 00:23:19
EUR_1,06:27:08,0 days 00:25:07
IN_2,06:29:55,0 days 00:27:54
NU_2,06:31:46,0 days 00:29:45
BR_2,06:34:44,0 days 00:32:43
UQ_1,06:36:36,0 days 00:34:35
CJD_1,06:37:26,0 days 00:35:25
ZQ_1,06:38:26,0 days 00:36:25
VH_1,06:41:21,0 days 00:39:20
AVH_1,06:43:35,0 days 00:41:34
FKF_1,06:45:09,0 days 00:43:08
BGQ_1,06:47:49,0 days 00:45:48
CLL_1,06:49:56,0 days 00:47:55
BEB_1,06:52:04,0 days 00:50:03
FLB_1,06:55:14,0 days 00:53:13
BRQ_1,06:56:02,0 days 00:54:01
DDO_1,06:56:59,0 days 00:54:58
DIL_1,06:58:04,0 days 00:56:03
BMP_1,06:58:57,0 days 00:56:56
AVG_1,07:02:01,0 days 01:00:00
DBK_1,07:03:37,0 days 01:01:36
ASB_1,07:04:30,0 days 01:02:29
DTJ_1,07:05:35,0 days 01:03:34
AWF_1,07:12:10,0 days 01:10:09
DGV_1,07:13:43,0 days 01:11:42
ASG_1,07:15:16,0 days 01:13:15
CUQ_1,07:16:25,0 days 01:14:24
SI_1,07:17:19,0 days 01:15:18
EAB_1,07:18:30,0 days 01:16:29
ACI_1,07:21:15,0 days 01:19:14
AIW_1,07:23:45,0 days 01:21:44
EFF_1,07:28:00,0 days 01:25:59
EIP_1,07:30:25,0 days 01:28:24
ART_1,07:31:45,0 days 01:29:44
OL_2,07:33:41,0 days 01:31:40
ACV_1,07:35:25,0 days 01:33:24
BAB_1,07:38:30,0 days 01:36:29
DJB_1,07:39:20,0 days 01:37:19
BZD_1,07:42:06,0 days 01:40:05
EUB_1,07:44:07,0 days 01:42:06
IM_2,07:47:04,0 days 01:45:03
EBL_1,07:50:17,0 days 01:48:16
DZT_1,07:52:15,0 days 01:50:14
AFL_1,07:52:34,0 days 01:50:33
DLZ_1,08:11:22,0 days 00:25:01
DXQ_1,08:37:13,0 days 00:50:36
CZD_1,08:39:05,0 days 00:51:24
AGI_1,09:18:25,0 days 01:32:42
AFV_1,14:26:16,0 days 00:49:40
KI_1,17:55:09,0 days 00:00:02
CQU_1,18:57:03,0 days 01:03:56
