Stop_stn,Ride_time,sub
DZ_2,07:22:24,0 days 00:00:00
FH_1,07:23:25,0 days 00:01:01
CSC_1,07:26:18,0 days 00:03:54
CZS_1,07:29:08,0 days 00:06:44
YP_1,07:32:35,0 days 00:10:11
X_4,07:35:03,0 days 00:12:39
BJR_1,07:36:10,0 days 00:13:46
EFK_1,07:39:00,0 days 00:16:36
DUM_1,07:40:40,0 days 00:18:16
JM_2,07:45:22,0 days 00:22:58
EE_1,07:48:18,0 days 00:25:54
AEC_1,07:49:46,0 days 00:27:22
DHX_1,07:51:54,0 days 00:29:30
CVL_1,07:54:54,0 days 00:32:30
DQA_1,07:55:25,0 days 00:33:01
CZM_1,07:56:29,0 days 00:34:05
AOW_1,07:58:04,0 days 00:35:40
EHO_1,08:02:25,0 days 00:40:01
ESU_1,08:04:15,0 days 00:41:51
EQY_1,17:33:46,0 days 00:22:17
CNK_1,17:37:09,0 days 00:26:08
ZT_1,17:44:28,0 days 00:35:17
DDM_1,17:59:36,0 days 00:24:51
