Stop_stn,Ride_time,sub
V_3,07:25:23,0 days 00:00:00
BCO_1,07:26:46,0 days 00:01:23
DVM_1,07:27:42,0 days 00:02:19
CFU_1,07:29:12,0 days 00:03:49
BIL_1,07:30:08,0 days 00:04:45
BSD_1,07:32:18,0 days 00:06:55
CVJ_1,07:32:53,0 days 00:07:30
ELO_1,07:33:48,0 days 00:08:25
CXN_1,07:34:44,0 days 00:09:21
SY_1,07:36:13,0 days 00:10:50
BVF_1,07:38:52,0 days 00:13:29
AYX_1,07:39:48,0 days 00:14:25
BBE_1,07:40:52,0 days 00:15:29
CKY_1,07:42:45,0 days 00:17:22
BBH_1,07:43:51,0 days 00:18:28
NL_1,07:44:51,0 days 00:19:28
SW_1,07:47:56,0 days 00:22:33
DTE_1,07:48:49,0 days 00:23:26
MN_1,07:50:04,0 days 00:24:41
CNX_1,07:51:32,0 days 00:26:09
ARU_1,07:52:56,0 days 00:27:33
ESW_1,07:56:32,0 days 00:31:09
FIP_1,07:58:23,0 days 00:33:00
BEW_1,07:59:37,0 days 00:34:14
IP_2,08:01:13,0 days 00:35:50
ARS_1,08:04:48,0 days 00:39:25
ENW_1,08:06:07,0 days 00:40:44
CTI_1,08:07:21,0 days 00:41:58
DBB_1,08:09:05,0 days 00:43:42
CSX_1,08:11:21,0 days 00:45:58
EMH_1,08:15:54,0 days 00:50:31
DNC_1,08:16:49,0 days 00:51:26
BWO_1,08:21:35,0 days 00:56:12
DT_1,08:23:53,0 days 00:58:30
BLE_1,08:26:51,0 days 01:01:28
AN_2,08:28:49,0 days 01:03:26
ATI_1,08:30:44,0 days 01:05:21
AC_1,08:33:04,0 days 01:07:41
DGC_1,08:37:52,0 days 01:12:29
E_2,08:39:05,0 days 01:13:42
AOH_1,08:40:32,0 days 01:15:09
CKL_1,08:42:39,0 days 01:17:16
OR_1,08:44:15,0 days 01:18:52
CRG_1,08:48:24,0 days 01:23:01
BEH_1,11:54:05,0 days 00:55:33
ECO_1,12:48:46,0 days 00:55:55
BTF_1,13:02:49,0 days 01:09:30
DPD_1,13:19:06,0 days 01:03:01
BIY_1,18:40:09,0 days 01:03:12
