Stop_stn,Ride_time,sub
ET_2,07:07:34,0 days 00:00:00
AU_3,07:13:26,0 days 00:05:52
CKO_1,07:14:20,0 days 00:06:46
DGA_1,07:15:36,0 days 00:08:02
Z_4,07:17:57,0 days 00:10:23
CRS_1,07:19:42,0 days 00:12:08
FBL_1,07:22:42,0 days 00:15:08
CXS_1,07:23:35,0 days 00:59:19
BZK_1,07:24:33,0 days 00:16:59
EOO_1,07:26:36,0 days 00:19:02
BKI_1,07:28:04,0 days 00:20:30
DW_1,07:29:22,0 days 00:21:48
EOE_1,07:30:46,0 days 00:23:12
DZV_1,07:32:17,0 days 00:24:43
EOY_1,07:33:41,0 days 00:26:07
RS_1,07:34:33,0 days 00:26:59
OV_2,07:35:41,0 days 00:28:07
EAP_1,07:37:27,0 days 00:29:53
OV_1,07:38:31,0 days 00:30:57
DZ_1,07:42:51,0 days 00:35:17
DUP_1,07:45:16,0 days 00:37:42
AZD_1,07:46:39,0 days 00:39:05
DZX_1,07:48:18,0 days 00:40:44
FAC_1,07:49:10,0 days 00:41:36
FKB_1,07:51:17,0 days 00:43:43
JD_1,07:53:56,0 days 00:46:22
CTC_1,07:55:51,0 days 00:48:17
BOB_1,07:56:49,0 days 00:49:15
EUM_1,07:58:16,0 days 00:50:42
ACJ_1,07:59:48,0 days 00:52:14
CHQ_1,08:00:20,0 days 00:52:46
JG_2,08:02:43,0 days 00:55:09
HB_2,08:06:08,0 days 00:58:34
AUF_1,08:07:21,0 days 00:59:47
CZR_1,08:08:37,0 days 01:01:03
DAB_1,08:09:49,0 days 01:02:15
BOH_1,08:11:14,0 days 01:03:40
EYQ_1,08:12:57,0 days 01:05:23
EDS_1,08:15:10,0 days 01:07:36
ARJ_1,08:17:43,0 days 01:10:09
BLA_1,08:19:40,0 days 01:12:06
AAH_1,08:24:51,0 days 01:17:17
RV_1,08:26:26,0 days 01:18:52
EFD_1,08:27:47,0 days 01:20:13
BMO_1,08:29:54,0 days 01:22:20
CDY_1,08:32:04,0 days 01:24:30
LK_1,08:34:46,0 days 01:27:12
DZB_1,08:36:21,0 days 01:28:47
EFA_1,08:37:40,0 days 01:30:06
AX_1,08:39:13,0 days 01:31:39
J_1,08:40:14,0 days 01:32:40
BZX_1,08:43:10,0 days 01:35:36
G_1,08:44:03,0 days 01:36:29
BAA_1,08:46:09,0 days 01:38:35
DPX_1,08:46:59,0 days 01:39:25
DWX_1,08:48:18,0 days 01:40:44
CVA_1,08:51:05,0 days 01:43:31
KN_1,08:54:19,0 days 01:46:45
LT_1,08:56:36,0 days 01:49:02
DXR_1,08:58:32,0 days 01:50:58
DJU_1,08:59:38,0 days 01:52:04
AMN_1,09:00:07,0 days 01:52:33
BZS_1,09:01:11,0 days 01:53:37
AGT_1,09:03:52,0 days 01:56:18
BSX_1,09:06:06,0 days 01:58:32
FP_1,09:08:50,0 days 02:01:16
DIJ_1,09:15:18,0 days 02:07:44
IP_1,09:18:18,0 days 02:10:44
AKC_1,09:19:10,0 days 02:11:36
CAL_1,09:22:36,0 days 02:15:02
ATC_1,09:23:17,0 days 02:15:43
DMZ_1,09:25:03,0 days 02:17:29
EDN_1,09:25:39,0 days 02:18:05
ENY_1,09:27:10,0 days 02:19:36
FA_1,09:28:37,0 days 02:21:03
EKM_1,09:35:31,0 days 02:27:57
BDD_1,17:11:39,0 days 00:17:45
FK_2,17:34:37,0 days 00:27:36
EDY_1,17:38:26,0 days 00:32:23
ABM_1,18:12:19,0 days 01:04:34
ALF_1,18:18:43,0 days 01:14:10
GE_2,19:12:18,0 days 02:07:03
BOS_1,19:13:36,0 days 02:03:51
BPF_1,19:19:16,0 days 02:14:48
