Stop_stn,Ride_time,sub
MZ_2,14:36:25,0 days 00:00:00
QZ_1,14:39:13,0 days 00:02:48
APR_1,14:41:39,0 days 00:05:14
BKY_1,14:42:47,0 days 00:06:22
DCK_1,14:43:34,0 days 00:07:09
BPN_1,14:44:34,0 days 00:08:09
MT_1,14:45:52,0 days 00:09:27
AKR_1,14:48:16,0 days 00:11:51
TZ_1,14:49:16,0 days 00:12:51
CCR_1,14:51:13,0 days 00:14:48
CNU_1,14:52:45,0 days 00:16:20
DVI_1,14:53:32,0 days 00:17:07
DPU_1,14:55:15,0 days 00:18:50
EAO_1,14:56:55,0 days 00:20:30
CAB_1,14:58:15,0 days 00:21:50
DZU_1,15:00:10,0 days 00:23:45
EX_1,15:02:11,0 days 00:25:46
NT_2,15:03:23,0 days 00:26:58
DD_3,15:04:41,0 days 00:28:16
DDY_1,15:06:31,0 days 00:30:06
BPK_1,15:07:59,0 days 00:31:34
ATD_1,15:11:59,0 days 00:35:34
ACM_1,15:15:26,0 days 00:39:01
ZF_1,15:17:00,0 days 00:40:35
ALK_1,15:17:52,0 days 00:41:27
LN_2,15:18:54,0 days 00:42:29
CPL_1,15:19:40,0 days 00:43:15
IE_2,15:20:30,0 days 00:44:05
JV_2,15:20:58,0 days 00:44:33
BI_3,15:22:12,0 days 00:45:47
BBZ_1,15:23:34,0 days 00:47:09
EKB_1,15:25:28,0 days 00:49:03
D_5,15:27:04,0 days 00:50:39
BOU_1,15:28:07,0 days 00:51:42
CVM_1,15:28:50,0 days 00:52:25
BFT_1,15:30:21,0 days 00:53:56
CCS_1,15:31:24,0 days 00:54:59
BQW_1,15:32:37,0 days 00:56:12
BUK_1,15:44:59,0 days 01:08:34
BVF_1,15:48:05,0 days 01:11:40
AYX_1,15:48:54,0 days 01:12:29
CKW_1,15:49:33,0 days 01:13:08
ALH_1,15:52:03,0 days 01:15:38
CUY_1,15:53:29,0 days 01:17:04
LO_2,15:55:32,0 days 01:19:07
DOM_1,15:56:11,0 days 01:19:46
CTO_1,15:57:55,0 days 01:21:30
RT_1,15:59:58,0 days 01:23:33
BCC_1,16:01:36,0 days 01:25:11
ARZ_1,16:02:37,0 days 01:26:12
PC_1,16:03:42,0 days 01:27:17
EES_1,16:05:09,0 days 01:28:44
DAV_1,16:07:27,0 days 01:31:02
N_1,16:08:48,0 days 01:32:23
AB_1,16:10:07,0 days 01:33:42
ELG_1,16:10:47,0 days 01:34:22
AXM_1,16:11:47,0 days 01:35:22
ERG_1,16:13:49,0 days 01:37:24
OR_1,16:16:53,0 days 01:40:28
CRG_1,16:19:27,0 days 01:43:02
