Stop_stn,Ride_time,sub
EV_2,07:39:34,0 days 00:00:00
EVW_1,07:43:28,0 days 00:03:54
CYK_1,07:43:28,0 days 00:03:54
AJ_2,07:46:52,0 days 00:07:18
ALO_1,07:48:39,0 days 00:09:05
EAC_1,07:49:57,0 days 00:10:23
ASJ_1,07:54:34,0 days 00:15:00
ARB_1,07:56:00,0 days 00:16:26
AK_1,07:57:35,0 days 00:18:01
XT_1,07:58:51,0 days 00:19:17
BOD_1,07:59:32,0 days 00:19:58
DNF_1,08:00:54,0 days 00:21:20
ERX_1,08:01:24,0 days 00:16:04
AIU_1,08:01:56,0 days 00:22:22
ERS_1,08:03:03,0 days 00:23:29
FME_1,08:05:20,0 days 00:25:46
DGJ_1,08:05:56,0 days 00:26:22
BSR_1,08:06:45,0 days 00:27:11
BV_2,08:08:49,0 days 00:29:15
AKI_1,08:09:52,0 days 00:30:18
CFB_1,08:11:06,0 days 00:31:32
CLT_1,08:14:06,0 days 00:34:32
DY_2,08:15:59,0 days 00:36:25
BUI_1,08:19:04,0 days 00:39:30
QI_2,08:20:21,0 days 00:40:47
CCP_1,08:21:49,0 days 00:42:15
CIO_1,08:22:34,0 days 00:43:00
CWQ_1,08:24:18,0 days 00:44:44
G_5,08:25:38,0 days 00:46:04
CT_2,08:27:44,0 days 00:48:10
HE_1,08:28:48,0 days 00:49:14
HX_2,08:29:43,0 days 00:50:09
DWW_1,08:31:08,0 days 00:51:34
FEG_1,08:34:05,0 days 00:54:31
EXJ_1,08:35:40,0 days 00:56:06
FBQ_1,08:37:08,0 days 00:57:34
BLW_1,08:39:15,0 days 00:59:41
DNX_1,08:41:39,0 days 01:02:05
CCS_1,08:44:09,0 days 01:04:35
BQW_1,08:46:37,0 days 01:07:03
EEQ_1,08:49:01,0 days 01:09:27
AVJ_1,08:49:59,0 days 01:10:25
DAX_1,08:52:50,0 days 01:13:16
DWM_1,08:53:36,0 days 01:14:02
PJ_1,08:54:33,0 days 01:14:59
DXH_1,08:57:27,0 days 01:17:53
DTX_1,08:58:40,0 days 01:19:06
DJ_3,08:59:43,0 days 01:20:09
GY_2,09:03:34,0 days 01:24:00
CMC_1,11:25:08,0 days 00:16:19
BDF_1,18:04:23,0 days 00:19:57
DNL_1,18:21:02,0 days 00:33:34
DCI_1,18:40:12,0 days 00:52:04
