Stop_stn,Ride_time,sub
BRG_1,14:41:33,0 days 00:00:00
DQO_1,14:44:38,0 days 00:03:05
CSP_1,14:46:05,0 days 00:04:32
DVV_1,14:47:05,0 days 00:05:32
CN_1,14:48:00,0 days 00:06:27
QK_2,14:50:03,0 days 00:08:30
DCB_1,14:51:22,0 days 00:09:49
ZS_1,14:52:34,0 days 00:11:01
EPN_1,14:56:09,0 days 00:14:36
AZ_1,14:57:21,0 days 00:15:48
BJG_1,14:58:37,0 days 00:17:04
ELL_1,15:00:29,0 days 00:18:56
EUG_1,15:01:58,0 days 00:20:25
BBA_1,15:03:10,0 days 00:21:37
XQ_1,15:04:59,0 days 00:23:26
DLU_1,15:07:43,0 days 00:26:10
JZ_1,15:08:33,0 days 00:27:00
NB_1,15:09:38,0 days 00:28:05
BUV_1,15:11:00,0 days 00:29:27
BCU_1,15:11:58,0 days 00:30:25
BAX_1,15:13:14,0 days 00:31:41
