Stop_stn,Ride_time,sub
BRG_1,07:28:15,0 days 00:00:00
JM_2,07:30:10,0 days 00:01:55
NT_1,07:31:25,0 days 00:03:10
Y_3,07:32:48,0 days 00:04:33
CA_1,07:33:45,0 days 00:26:19
BVQ_1,07:34:59,0 days 00:06:44
EUT_1,07:40:58,0 days 00:12:43
JH_2,07:41:59,0 days 00:13:44
AM_2,07:42:48,0 days 00:14:33
AZR_1,07:45:03,0 days 00:16:48
EN_2,07:45:56,0 days 00:17:41
DGD_1,07:49:59,0 days 00:21:44
EP_1,07:51:17,0 days 00:23:02
E_3,07:52:57,0 days 00:24:42
HG_1,07:54:30,0 days 00:26:15
KP_1,07:55:33,0 days 00:27:18
SN_1,07:56:28,0 days 00:28:13
DMV_1,07:57:59,0 days 00:29:44
EVO_1,08:00:48,0 days 00:32:33
COH_1,08:07:17,0 days 00:39:02
AWU_1,08:13:01,0 days 00:44:46
ETO_1,08:14:06,0 days 00:45:51
CXJ_1,08:15:12,0 days 00:46:57
ERN_1,08:23:42,0 days 00:55:27
COV_1,08:25:32,0 days 00:57:17
ATN_1,08:26:26,0 days 00:58:11
YC_1,08:27:33,0 days 00:59:18
AVW_1,08:33:52,0 days 01:05:37
