Stop_stn,Ride_time,sub
ET_2,06:35:58,0 days 00:00:00
CPI_1,06:39:04,0 days 00:24:17
CJG_1,06:41:57,0 days 00:05:59
BUU_1,06:43:40,0 days 00:07:42
CLO_1,06:45:17,0 days 00:09:19
CTR_1,06:46:52,0 days 00:10:54
DWZ_1,06:47:51,0 days 00:11:53
DOJ_1,06:48:56,0 days 00:12:58
BQV_1,06:49:50,0 days 00:13:52
AXB_1,06:51:58,0 days 00:16:00
ARF_1,06:53:21,0 days 00:17:23
DFH_1,06:54:40,0 days 00:18:42
BFZ_1,06:56:01,0 days 00:20:03
DCZ_1,06:57:10,0 days 00:21:12
ERL_1,06:58:51,0 days 00:22:53
CHV_1,07:00:35,0 days 00:24:37
YF_1,07:02:39,0 days 00:26:41
MQ_2,07:03:43,0 days 00:27:45
CPC_1,07:04:45,0 days 00:28:47
RP_1,07:05:49,0 days 00:29:51
AAI_1,07:06:37,0 days 00:30:39
CWU_1,07:08:44,0 days 00:32:46
EJP_1,07:10:25,0 days 00:34:27
F_5,07:12:58,0 days 00:37:00
EVW_1,07:14:19,0 days 00:38:21
LP_2,07:14:31,0 days 01:00:43
EEL_1,07:14:33,0 days 00:08:30
CYK_1,07:17:31,0 days 00:41:33
CGW_1,07:20:08,0 days 00:44:10
GG_2,07:22:04,0 days 00:46:06
AKJ_1,07:22:43,0 days 00:46:45
GG_1,07:24:10,0 days 00:48:12
ZX_1,07:25:47,0 days 00:49:49
CGF_1,07:26:37,0 days 00:50:39
AND_1,07:29:00,0 days 00:53:02
CDQ_1,07:30:15,0 days 00:54:17
ECV_1,07:31:27,0 days 00:55:29
DOA_1,07:32:38,0 days 00:56:40
DIP_1,07:34:20,0 days 00:58:22
CIZ_1,07:37:09,0 days 01:01:11
BQO_1,07:37:55,0 days 01:01:57
AZB_1,07:38:57,0 days 01:02:59
EUI_1,07:40:26,0 days 01:04:28
AO_2,07:42:09,0 days 01:06:11
AOO_1,07:43:20,0 days 01:07:22
HF_2,07:44:57,0 days 01:08:59
DA_1,07:46:03,0 days 01:10:05
CS_3,07:46:44,0 days 01:10:46
DRV_1,07:47:55,0 days 01:11:57
DOP_1,07:50:01,0 days 01:14:03
PV_2,07:50:33,0 days 01:14:35
ASY_1,07:53:01,0 days 01:17:03
ESD_1,07:56:11,0 days 01:20:13
