Stop_stn,Ride_time,sub
FX_2,06:43:02,0 days 00:00:00
AHE_1,06:45:30,0 days 00:02:28
DRM_1,06:47:58,0 days 00:04:56
BQE_1,06:50:37,0 days 00:07:35
AFR_1,06:52:52,0 days 00:09:50
K_5,06:55:03,0 days 00:12:01
CBY_1,06:58:56,0 days 00:15:54
GV_2,07:02:01,0 days 00:18:59
LL_1,07:03:18,0 days 00:20:16
BR_3,07:04:30,0 days 00:21:28
LL_2,07:05:39,0 days 00:22:37
AXY_1,07:08:42,0 days 00:25:40
DNQ_1,07:09:57,0 days 00:26:55
AED_1,07:12:28,0 days 00:29:26
EYL_1,07:16:35,0 days 00:33:33
FPO_1,07:18:03,0 days 00:35:01
AFW_1,07:19:18,0 days 00:36:16
EYI_1,07:20:25,0 days 00:37:23
FFH_1,07:21:08,0 days 00:38:06
CTX_1,07:23:26,0 days 00:40:24
EYM_1,07:24:42,0 days 00:41:40
EYU_1,07:26:28,0 days 00:43:26
OU_2,07:29:54,0 days 00:46:52
FPP_1,07:30:32,0 days 00:47:30
FFK_1,07:31:48,0 days 00:48:46
EX_2,07:37:51,0 days 00:54:49
EKV_1,07:39:37,0 days 00:56:35
DDY_1,07:40:52,0 days 00:57:50
CYT_1,07:42:54,0 days 00:59:52
EBS_1,07:43:59,0 days 01:00:57
WK_1,07:44:53,0 days 01:01:51
BFB_1,07:49:31,0 days 01:06:29
BXU_1,07:52:46,0 days 01:09:44
BWY_1,07:55:11,0 days 01:12:09
B_7,07:56:30,0 days 01:13:28
CRP_1,08:00:48,0 days 01:17:46
AGN_1,08:03:14,0 days 01:20:12
EX_1,12:44:14,0 days 01:02:03
