Stop_stn,Ride_time,sub
ADF_1,16:08:18,0 days 00:50:27
X_3,17:14:36,0 days 00:03:43
DLG_1,17:33:49,0 days 00:00:00
U_1,17:34:39,0 days 00:00:50
EBL_1,17:36:33,0 days 00:02:44
OW_2,17:38:21,0 days 00:04:32
ABQ_1,17:41:18,0 days 00:07:29
HW_2,17:42:17,0 days 00:08:28
DEP_1,17:42:51,0 days 00:09:02
DFQ_1,17:44:48,0 days 00:10:59
ETE_1,17:45:50,0 days 00:12:01
DCF_1,17:47:28,0 days 00:13:39
COO_1,17:49:44,0 days 00:15:55
AIB_1,17:51:28,0 days 00:17:39
DTI_1,17:52:00,0 days 00:18:11
EEJ_1,17:54:38,0 days 00:20:49
BCD_1,17:56:27,0 days 00:22:38
CGY_1,17:57:12,0 days 00:23:23
DLN_1,17:59:08,0 days 00:25:19
CVW_1,18:01:26,0 days 00:27:37
CRD_1,18:03:02,0 days 00:29:13
LQ_2,18:04:31,0 days 00:30:42
ADC_1,18:06:31,0 days 00:32:42
BEW_1,18:08:28,0 days 00:34:39
IP_2,18:10:21,0 days 00:36:32
BPT_1,18:13:09,0 days 00:39:20
BUX_1,18:16:45,0 days 00:42:56
CYL_1,18:22:31,0 days 00:48:42
AJN_1,18:25:14,0 days 00:51:25
DPI_1,18:25:22,0 days 01:16:49
EQO_1,18:27:39,0 days 00:53:50
PK_1,18:30:02,0 days 00:56:13
EQN_1,18:31:52,0 days 00:58:03
LQ_1,18:34:09,0 days 01:00:20
BZI_1,18:37:15,0 days 01:03:26
BRE_1,18:37:48,0 days 01:03:59
CQN_1,18:39:16,0 days 01:05:27
ADE_1,18:42:20,0 days 01:08:31
BHH_1,18:44:33,0 days 01:10:44
ALT_1,18:45:19,0 days 01:11:30
DSV_1,18:47:30,0 days 01:13:41
BUH_1,18:49:09,0 days 01:15:20
DUO_1,18:50:48,0 days 01:16:59
AYG_1,18:52:39,0 days 01:18:50
ATE_1,18:54:06,0 days 01:20:17
CBQ_1,18:55:18,0 days 01:21:29
AJL_1,18:58:41,0 days 01:24:52
HW_1,18:59:28,0 days 01:25:39
DN_1,19:01:00,0 days 01:27:11
OW_1,19:02:05,0 days 01:28:16
AGC_1,19:03:22,0 days 01:29:33
DMI_1,19:04:17,0 days 01:30:28
CPZ_1,19:07:21,0 days 01:33:32
