Stop_stn,Ride_time,sub
AIM_1,07:10:31,0 days 00:09:05
KI_1,07:33:48,0 days 00:00:00
ELX_1,07:37:55,0 days 00:04:07
DFC_1,07:45:28,0 days 00:11:40
CT_2,07:46:31,0 days 00:12:43
HX_2,07:48:28,0 days 00:14:40
DWW_1,07:49:49,0 days 00:16:01
ST_1,08:11:21,0 days 00:37:33
BUK_1,08:19:26,0 days 00:45:38
ASG_1,08:32:23,0 days 00:58:35
CUQ_1,08:33:31,0 days 00:59:43
SI_1,08:34:23,0 days 01:00:35
ACI_1,08:38:54,0 days 01:05:06
AIW_1,08:42:38,0 days 01:08:50
EFF_1,08:44:48,0 days 01:11:00
EIP_1,08:45:51,0 days 01:12:03
AEG_1,08:47:51,0 days 01:31:39
EVH_1,08:49:45,0 days 01:15:57
CKM_1,08:52:15,0 days 01:18:27
DQE_1,08:53:26,0 days 01:19:38
UX_1,08:54:35,0 days 01:20:47
EJN_1,08:57:06,0 days 01:23:18
