Stop_stn,Ride_time,sub
BRG_1,06:45:33,0 days 00:00:00
AI_1,06:50:59,0 days 00:05:26
CI_2,06:51:52,0 days 00:06:19
DNS_1,06:53:29,0 days 00:07:56
XI_1,06:54:44,0 days 00:09:11
FNT_1,06:56:23,0 days 00:10:50
FNV_1,06:57:47,0 days 00:12:14
BRV_1,06:58:48,0 days 00:13:15
FNY_1,07:01:41,0 days 00:16:08
FOB_1,07:03:28,0 days 00:17:55
SH_1,07:07:10,0 days 00:21:37
EHH_1,07:10:58,0 days 00:25:25
DZ_2,07:14:08,0 days 00:28:35
EEY_1,07:18:00,0 days 00:32:27
CSC_1,07:19:31,0 days 00:33:58
CZS_1,07:22:16,0 days 00:36:43
CGO_1,07:23:44,0 days 00:38:11
FOA_1,07:27:52,0 days 00:42:19
FNX_1,07:29:10,0 days 00:43:37
BFN_1,07:30:31,0 days 00:44:58
FNW_1,07:31:56,0 days 00:46:23
FNU_1,07:32:47,0 days 00:47:14
AWH_1,07:34:12,0 days 00:48:39
HS_2,07:36:11,0 days 00:50:38
BF_1,07:38:02,0 days 00:52:29
AKH_1,07:39:40,0 days 00:54:07
