Stop_stn,Ride_time,sub
CWE_1,07:51:11,0 days 00:00:00
HOUGANG SEC SCH,07:55:16,0 days 00:04:05
BEZ_1,07:57:12,0 days 00:06:01
AZ_3,07:58:15,0 days 00:07:04
AJ_3,07:59:19,0 days 00:08:08
CKV_1,08:00:27,0 days 00:09:16
EGH_1,08:01:31,0 days 00:10:20
B_5,08:05:55,0 days 00:14:44
LQ_2,08:20:12,0 days 00:29:01
ADC_1,08:24:27,0 days 00:33:16
BEW_1,08:25:26,0 days 00:34:15
IP_2,08:28:17,0 days 00:37:06
CBU_1,08:30:38,0 days 00:39:27
ENW_1,08:34:53,0 days 00:43:42
CTI_1,08:37:07,0 days 00:45:56
DBB_1,08:40:50,0 days 00:49:39
ADI_1,08:44:43,0 days 00:53:32
