Stop_stn,Ride_time,sub
DXP_1,18:06:56,0 days 00:00:00
CW_1,18:10:26,0 days 00:03:30
GO_1,18:12:17,0 days 00:05:21
LY_1,18:15:44,0 days 00:08:48
IC_1,18:17:58,0 days 00:11:02
VV_1,18:20:00,0 days 00:13:04
HG_1,18:20:49,0 days 00:13:53
KP_1,18:21:46,0 days 00:14:50
SN_1,18:24:15,0 days 00:17:19
DMV_1,18:25:26,0 days 00:18:30
EVO_1,18:28:24,0 days 00:21:28
BKV_1,18:29:31,0 days 00:22:35
FKZ_1,18:32:36,0 days 00:25:40
AUG_1,18:33:26,0 days 00:26:30
BYM_1,18:34:31,0 days 00:27:35
CQI_1,18:37:31,0 days 00:30:35
WG_1,18:42:21,0 days 00:35:25
BFS_1,18:43:32,0 days 00:36:36
COM_1,18:45:42,0 days 00:38:46
YZ_1,18:47:34,0 days 00:40:38
CH_1,18:49:09,0 days 00:42:13
BKP_1,18:49:56,0 days 00:43:00
BBM_1,18:53:06,0 days 00:46:10
DO_1,18:53:53,0 days 00:46:57
KK_1,18:55:19,0 days 00:48:23
BTG_1,18:56:36,0 days 00:49:40
BH_2,18:57:58,0 days 00:51:02
