Stop_stn,Ride_time,sub
EGG_1,07:22:58,0 days 00:41:57
DIQ_1,17:15:11,0 days 00:00:00
OB_2,17:16:42,0 days 00:01:31
DWG_1,17:18:32,0 days 00:03:21
CEB_1,17:20:31,0 days 00:05:20
AAA_1,17:21:31,0 days 00:06:20
CGM_1,17:23:46,0 days 00:08:35
BEG_1,17:25:10,0 days 00:09:59
AOY_1,17:25:50,0 days 00:10:39
DMY_1,17:27:59,0 days 00:12:48
BEZ_1,17:29:19,0 days 00:14:08
AGG_1,17:31:28,0 days 00:16:17
XG_1,17:32:59,0 days 00:17:48
BWM_1,17:33:52,0 days 00:18:41
CLB_1,17:36:43,0 days 00:21:32
EOK_1,17:37:15,0 days 00:22:04
BTQ_1,17:40:09,0 days 00:24:58
ATS_1,17:40:34,0 days 00:25:23
EIQ_1,17:41:41,0 days 00:26:30
ADT_1,17:43:09,0 days 00:27:58
BLT_1,17:45:56,0 days 00:30:45
OX_2,17:47:19,0 days 00:32:08
P_2,17:48:51,0 days 00:33:40
DFV_1,17:50:56,0 days 00:35:45
DOH_1,17:51:52,0 days 00:36:41
IX_2,17:54:23,0 days 00:39:12
DQF_1,17:56:18,0 days 00:41:07
CRT_1,17:56:54,0 days 00:41:43
EZS_1,18:00:14,0 days 00:45:03
DBN_1,18:02:18,0 days 00:47:07
EPP_1,18:04:52,0 days 00:49:41
PS_2,18:06:09,0 days 00:50:58
DVA_1,18:08:27,0 days 00:53:16
FMB_1,18:09:47,0 days 00:54:36
FMD_1,18:11:59,0 days 00:56:48
EEK_1,18:15:12,0 days 01:00:01
CJU_1,18:17:08,0 days 01:01:57
DWR_1,18:19:12,0 days 01:04:01
KY_2,18:20:55,0 days 01:05:44
