Stop_stn,Ride_time,sub
BVL_1,07:47:20,0 days 00:00:00
CZJ_1,07:48:08,0 days 01:26:02
ACA_1,07:51:56,0 days 00:04:36
AJB_1,07:52:38,0 days 00:05:18
AZK_1,07:53:58,0 days 00:06:38
BAV_1,07:55:27,0 days 00:08:07
BOD_1,07:58:15,0 days 00:10:55
DNF_1,07:59:24,0 days 00:12:04
AIU_1,08:00:16,0 days 00:12:56
ERS_1,08:00:57,0 days 00:13:37
FME_1,08:03:03,0 days 00:15:43
BSR_1,08:04:39,0 days 00:17:19
BV_2,08:06:09,0 days 00:18:49
AKI_1,08:07:52,0 days 00:20:32
CFB_1,08:09:35,0 days 00:22:15
DNL_1,08:11:03,0 days 00:23:43
CLT_1,08:12:44,0 days 00:25:24
DY_2,08:13:59,0 days 00:26:39
BUI_1,08:17:12,0 days 00:29:52
EIO_1,08:19:18,0 days 00:31:58
EKP_1,08:20:40,0 days 00:33:20
OO_2,08:23:34,0 days 00:36:14
CFR_1,08:27:40,0 days 00:40:20
K_4,08:29:59,0 days 00:42:39
AD_4,08:31:20,0 days 00:44:00
FNA_1,08:34:23,0 days 00:47:03
AFX_1,08:35:56,0 days 00:48:36
BTY_1,08:38:45,0 days 00:51:25
BFX_1,08:40:12,0 days 00:52:52
BUS_1,08:41:16,0 days 00:53:56
BWH_1,08:41:44,0 days 00:54:24
APD_1,08:44:42,0 days 00:57:22
CJC_1,08:45:45,0 days 00:58:25
CEU_1,08:46:44,0 days 00:59:24
CFJ_1,08:48:48,0 days 01:01:28
CHZ_1,08:51:28,0 days 01:04:08
ELU_1,08:54:04,0 days 01:06:44
AFS_1,08:56:22,0 days 01:09:02
EFU_1,08:58:15,0 days 01:10:55
AVP_1,08:59:55,0 days 01:12:35
EMT_1,09:01:06,0 days 01:13:46
FBU_1,09:02:27,0 days 01:15:07
DMU_1,09:04:34,0 days 01:17:14
ALS_1,09:06:36,0 days 01:19:16
DAS_1,09:10:41,0 days 01:23:21
CKK_1,09:13:08,0 days 01:25:48
BED_1,09:17:01,0 days 01:29:41
CBU_1,09:20:29,0 days 01:33:09
ENW_1,09:23:13,0 days 01:35:53
CTI_1,09:25:21,0 days 01:38:01
DBB_1,09:26:51,0 days 01:39:31
ADI_1,09:30:08,0 days 01:42:48
YV_1,09:31:43,0 days 01:44:23
DGJ_1,14:54:51,0 days 00:14:27
AWZ_1,18:05:07,0 days 00:33:29
BQK_1,18:05:24,0 days 00:32:07
