FID,BUS_STOP
0,HS_1
1,FBW_1
2,HN_2
3,ETE_1
4,EVL_1
5,ESZ_1
6,ESY_1
7,EVO_1
8,EMP_1
9,EIY_1
10,EJD_1
11,JU_1
12,EGK_1
13,EDU_1
14,BV_2
15,HO_1
16,ECN_1
17,ECK_1
18,EDB_1
19,DUJ_1
20,JE_1
21,EBB_1
22,EAQ_1
23,HY_1
24,DXM_1
25,DUE_1
26,DYA_1
27,ECH_1
28,ECI_1
29,DTX_1
30,HL_1
31,DTP_1
32,DQV_1
33,DQT_1
34,AU_3
35,DRA_1
36,DQE_1
37,DKO_1
38,JS_2
39,JC_2
40,DMK_1
41,HH_1
42,HP_2
43,DOW_1
44,DIW_1
45,DGA_1
46,DHS_1
47,DJT_1
48,DJM_1
49,DGM_1
50,JH_2
51,CTU_1
52,DFE_1
53,IB_2
54,U_3
55,DED_1
56,DAU_1
57,DDC_1
58,DAQ_1
59,CZG_1
60,CZB_1
61,GZ_1
62,CZZ_1
63,CXW_1
64,DAB_1
65,DAA_1
66,CZN_1
67,CWT_1
68,CWR_1
69,DKP_1
70,CVL_1
71,CXO_1
72,CUK_1
73,CRR_1
74,CUN_1
75,P_4
76,CRJ_1
77,CQV_1
78,CQU_1
79,EDQ_1
80,CQC_1
81,CQN_1
82,COT_1
83,COO_1
84,COF_1
85,HI_1
86,CMY_1
87,HG_2
88,CMQ_1
89,JR_2
90,CLT_1
91,HZ_1
92,CLE_1
93,CKV_1
94,CJR_1
95,CKA_1
96,CJX_1
97,GR_2
98,Y_2
99,CIW_1
100,J_2
101,CJE_1
102,CIN_1
103,CIL_1
104,CIJ_1
105,CIE_1
106,GV_2
107,CHP_1
108,HB_2
109,CHD_1
110,CGZ_1
111,CEP_1
112,CDW_1
113,CCW_1
114,CCI_1
115,CCE_1
116,CCA_1
117,CBZ_1
118,CBM_1
119,CAW_1
120,CAK_1
121,CAG_1
122,JX_2
123,CK_3
124,JL_1
125,BZR_1
126,CBG_1
127,BZB_1
128,BYO_1
129,JJ_2
130,BYK_1
131,CFM_1
132,BXW_1
133,BXT_1
134,BYU_1
135,BZI_1
136,BWT_1
137,CP_3
138,BVZ_1
139,BVV_1
140,BVL_1
141,BVF_1
142,BUY_1
143,BUU_1
144,BUO_1
145,BD_3
146,BUC_1
147,JD_2
148,BUL_1
149,BTI_1
150,BTB_1
151,BTA_1
152,BSF_1
153,BSA_1
154,BRZ_1
155,BRY_1
156,BRV_1
157,BRP_1
158,BRD_1
159,BQA_1
