id,code
1,A
2,B
3,C
4,D
5,E
6,F
7,200
8,201
9,202
10,203
11,204
12,205
13,206
14,207
15,208
16,209
17,300
18,301
19,302
20,303
21,304
22,305
23,306
24,307
25,400
26,401
27,402
28,403
29,404
30,405
31,406
32,500
33,501
34,502
35,503
36,504
37,505
38,506
39,507
40,600
41,601
42,602
43,603
44,604
45,605
46,606
47,607
48,608
49,609
50,700
51,701
52,702
53,703
54,704
55,705
56,706
57,707
58,708
59,800
60,801
61,802
62,803
63,804
64,805
65,806
66,807
67,900
68,901
69,902
70,903
71,904
72,905
73,906
74,CP-Minho
75,CP-Braga
76,CP-Guimarães
77,CP-Aveiro
78,CP-Espinho
79,CP-Paredes
