id,arrival_time,departure_time,sequence,stop_id,route_id
100A_1934_0,17:39:11,17:39:11,0,1934,100A
100A_3232_1,17:43:12,17:43:12,1,3232,100A
100A_2159_2,17:44:02,17:44:02,2,2159,100A
100A_1220_3,17:45:42,17:45:42,3,1220,100A
100A_5105_5,17:47:48,17:47:48,5,5105,100A
100A_2436_6,17:50:09,17:50:09,6,2436,100A
100A_2302_7,17:51:37,17:51:37,7,2302,100A
100A_4279_8,17:54:21,17:54:21,8,4279,100A
100A_4661_9,17:55:53,17:55:53,9,4661,100A
100A_1857_10,17:57:45,17:57:45,10,1857,100A
100A_2725_11,17:58:20,17:58:20,11,2725,100A
100A_4584_12,17:59:31,17:59:31,12,4584,100A
127_1944_0,07:32:40,07:32:40,0,1944,127
127_5120_1,07:36:59,07:36:59,1,5120,127
127_4009_2,07:38:20,07:38:20,2,4009,127
127_3782_3,07:40:27,07:40:27,3,3782,127
127_198_4,07:42:12,07:42:12,4,198,127
127_2298_5,07:44:57,07:44:57,5,2298,127
127_5113_6,07:46:10,07:46:10,6,5113,127
127_5114_7,07:49:08,07:49:08,7,5114,127
127_2479_8,07:53:57,07:53:57,8,2479,127
127_2442_9,07:54:39,07:54:39,9,2442,127
127_952_10,08:02:34,08:02:34,10,952,127
127_1638_11,08:06:14,08:06:14,11,1638,127
127_849_12,08:08:37,08:08:37,12,849,127
127_4146_13,08:09:59,08:09:59,13,4146,127
127_5119_14,08:11:58,08:11:58,14,5119,127
127_5121_15,08:13:32,08:13:32,15,5121,127
127_4213_16,16:47:04,16:47:04,16,4213,127
127_4387_17,16:55:15,16:55:15,17,4387,127
127_3206_18,16:57:05,16:57:05,18,3206,127
127_5122_19,18:15:29,18:15:29,19,5122,127
129_4280_0,08:05:25,08:05:25,0,4280,129
129_1496_1,08:53:08,08:53:08,1,1496,129
129_5110_2,18:34:33,18:34:33,2,5110,129
129_5124_3,18:36:08,18:36:08,3,5124,129
129_553_4,18:38:31,18:38:31,4,553,129
129_2318_5,18:42:50,18:42:50,5,2318,129
