id,name,stop_type,stop_code,location_id,latitude,longitude,zone_id,zone_code
1,24 de Agosto,METRO,24AGO_1,33303a41-7167-4990-8636-0a335cbbd150,41.1488,-8.598349,12,PRT1
2,Aeroporto,METRO,AEROP_1,373bbd18-e059-45d2-8f61-b509b743191e,41.23708,-8.669442,19,VCD8
3,Aliados,METRO,ALIAD_1,807fd3bc-72b8-4919-95be-e955b2008883,41.14858,-8.610945,12,PRT1
4,Alto de Pega,METRO,ALPEG_1,ffd4e897-07e8-4649-acb4-a46e74bc8a93,41.36464,-8.745225,15,PV_VC
5,AraÃºjo,METRO,ARAUJ_1,062e2eee-5e36-43f7-81a6-af9d80df6373,41.21691,-8.640978,5,MAI1
6,Azurara,METRO,AZURA_1,92e80487-c290-4d0a-ad65-ff6742f5a6ce,41.34597,-8.728122,18,VCD3
7,Baguim,METRO,BAGUI_1,a974a63a-2acc-455c-877a-477a238bb913,41.18557,-8.545892,8,MAI4
8,BolhÃ£o,METRO,BOLHA_1,7659277b-07b6-4685-9d01-e6e5beb69702,41.14978,-8.605901,12,PRT1
9,Botica,METRO,BOTIC_1,77b8e97a-0edb-40ec-87e3-2f41eb5ea709,41.23752,-8.665208,19,VCD8
10,Brito Capelo,METRO,BRCAP_1,247fa091-9159-4b2d-83ec-16497078d9a4,41.18391,-8.691469,9,MTS1
11,Campainha,METRO,CAMPA_M_1,37565b51-c9f3-486f-bf13-7083f284cd95,41.18345,-8.553955,8,MAI4
12,CampanhÃ£,METRO,CAMPA_M_2,df5386ba-0ff7-4cd0-84bd-6c93500c1926,41.15054,-8.586245,12,PRT1
13,Carolina Michaelis,METRO,CAMIC_1,649f2792-559f-44f3-be2b-01113df88463,41.15858,-8.622246,12,PRT1
14,Carreira,METRO,CARRE_1,22ebfe5d-2634-44ba-8fbf-cd9f19711a24,41.17982,-8.543604,8,MAI4
15,Casa da MÃºsica,METRO,CAMUS_1,9138f875-c18f-4add-8b3d-8b3e12640c0e,41.16058,-8.628282,12,PRT1
16,CastÃªlo da Maia,METRO,CAMAI_1,2d8acd2b-ce4b-449a-b612-7c607e55a0ec,41.26275,-8.616986,6,MAI2
17,Combatentes,METRO,COMBA_1,d8361dce-544b-4733-ad88-545a834e834b,41.1653,-8.598464,12,PRT1
18,Contumil,METRO,CONTU_M_1,87c983bb-b486-4c1f-b90b-c979fe8de45a,41.16571,-8.578639,14,PRT3
19,Crestins,METRO,CREST_1,e34153b1-99ae-4179-a44c-31748bde1094,41.23301,-8.656593,19,VCD8
20,CustiÃ³,METRO,CUSTI_1,89dee5b9-8071-4004-b324-68a7ffc39436,41.22234,-8.638996,5,MAI1
21,CustÃ³ias,METRO,CUSTO_1,859282cc-41eb-4147-a0ad-99ad498fd343,41.20029,-8.655559,5,MAI1
22,CÃ¢mara Gaia,METRO,CAGAI_1,79611e5f-47ba-4279-82a4-5c55750a302c,41.12967,-8.606116,23,VNG1
23,CÃ¢mara Matosinhos,METRO,CAMAT_1,be7cfe55-fef2-4fc9-becd-f5120eb09cbc,41.1807,-8.681227,9,MTS1
24,CÃ¢ndido dos Reis,METRO,CAREI_1,61ddf195-4acc-4f13-8dc2-c75213336abb,41.2007,-8.649703,5,MAI1
25,D. JoÃ£o II,METRO,JOII_1,df4c551f-8c49-4136-accb-357bfe0bd2d1,41.11966,-8.60623,23,VNG1
26,EspaÃ§o Natureza,METRO,ESNAT_1,46ac9ca7-8fa0-41bb-b957-ea41095e7380,41.32122,-8.718681,18,VCD3
27,Esposade,METRO,ESPOS_1,bccf431a-b0ba-4e5e-859c-0ae597fe99a9,41.21607,-8.654541,5,MAI1
28,EstÃ¡dio do DragÃ£o,METRO,ESDRA_1,73a6700e-fab5-4a39-8db4-ff3dddfd47b9,41.16072,-8.582416,12,PRT1
29,EstÃ¡dio do Mar,METRO,ESMAR_1,ab09faf4-63f0-40d3-aa34-b844e891aee9,41.18577,-8.661189,9,MTS1
30,Faria GuimarÃ£es,METRO,FAGUI_1,46b8962d-8ca0-4efd-a871-ee4eac393cb3,41.15722,-8.609141,12,PRT1
31,Fonte do Cuco,METRO,FOCUC_1,3f36cc60-3ffd-4e16-8e30-3d1b920248dc,41.19416,-8.655771,5,MAI1
32,Francos,METRO,FRANC_M_1,c6f9792c-d2d7-49eb-b772-be123c24cd7a,41.16555,-8.636347,12,PRT1
33,FÃ¢nzeres,METRO,FANZE_1,fd8053ad-7ad6-49b0-92c3-d8cd36b7d887,41.1713,-8.542938,3,GDM1
34,FÃ³rum Maia,METRO,FOMAI_1,ab5cff27-76af-4c29-9d15-2379e8c6c727,41.23463,-8.623937,5,MAI1
35,General Torres,METRO,GETOR_M_1,a036715b-ddf1-428c-b373-b6d6dad28021,41.13387,-8.607489,23,VNG1
36,HeroÃ­smo,METRO,HEROI_1,6906012a-8308-4f1a-97aa-d74f7baeea3c,41.1467,-8.592978,12,PRT1
37,Hospital Santos Silva,METRO,HOSSI_1,ebb76248-f445-45ae-9751-e0a70550fd04,41.10576,-8.591075,24,VNG2
38,Hospital SÃ£o JoÃ£o,METRO,HOJOA_1,a12db68b-4848-42cb-9131-5ff24c41c023,41.18326,-8.60224,14,PRT3
39,IPO,METRO,IPO_1,47285ee5-bb5b-488c-b870-2640c23c367b,41.18125,-8.604521,14,PRT3
40,ISMAI,METRO,ISMAI_1,0edde086-e57e-4f3f-9583-4ca5e39acb76,41.26891,-8.615387,6,MAI2
41,Jardim do Morro,METRO,JAMOR_1,247b2d62-3404-4879-a679-448b581aa40a,41.13764,-8.608646,23,VNG1
42,JoÃ£o de Deus,METRO,JODEU_1,012f46ec-36da-4c16-ac30-0dd1b289cbf7,41.12606,-8.605627,23,VNG1
43,Lapa,METRO,LAPA_1,6993dee3-131f-4ded-b68d-726c8a6525d9,41.15711,-8.616723,12,PRT1
44,Levada,METRO,LEVAD_1,c75be4b8-c14d-44a7-ac05-c05a8f7ecbd7,41.17576,-8.56212,8,MAI4
45,Lidador,METRO,LIDAD_1,4a23caaf-7524-4198-a2a9-a61c2ef38d67,41.25495,-8.668018,19,VCD8
46,Mandim,METRO,MANDI_1,3a75efee-0001-4a84-90e1-3eadbe8b1535,41.25358,-8.628308,6,MAI2
47,Manuel LeÃ£o,METRO,MALEA_1,05e5e42d-1b5d-4268-8903-b29ea1041904,41.11066,-8.599958,23,VNG1
48,MarquÃªs,METRO,MARQU_1,caf00d89-af3f-40df-b8ba-a531e6184824,41.16112,-8.604272,12,PRT1
49,Matosinhos Sul,METRO,MASUL_1,033a24d0-60f8-401b-ae9d-7a6a1913bd65,41.18017,-8.688553,9,MTS1
50,Mercado,METRO,MERCA_1,00b487ab-a002-41c4-91e6-8ee4b8d325d4,41.18748,-8.693391,9,MTS1
51,Mindelo,METRO,MINDE_1,fb0ab766-4e99-41c9-ac81-ee2deac18abf,41.31508,-8.714209,18,VCD3
52,Modivas Centro,METRO,MOCEN_1,0550b7c6-b5dd-4088-afb7-0bd0631eb432,41.29368,-8.699238,19,VCD8
