route_code,stop_code,stop_name,latitude,longitude,zone_code,sequence,transport_type,zone_id,hex_color
200,BLRB1,Bolhão,41.151868,-8.607115,PRT1,1,BUS,12,#637939
200,MCBL,Mercado Do Bolhão,41.149509,-8.607564,PRT1,2,BUS,12,#637939
200,PRDJ,Pr. D. João I,41.147581,-8.609126,PRT1,3,BUS,12,#637939
200,PRFL,Pr.filipa De Lencastre,41.148261,-8.612768,PRT1,4,BUS,12,#637939
200,GGF,Guil. G. Fernandes,41.14756,-8.614767,PRT1,5,BUS,12,#637939
200,CMO,Carmo,41.147223,-8.616926,PRT1,6,BUS,12,#637939
200,HSA5,Hosp. St. António,41.147766,-8.62245,PRT1,7,BUS,12,#637939
200,PAL2,Palácio,41.149145,-8.625447,PRT1,8,BUS,12,#637939
200,PRG4,Pr. Da Galiza,41.152531,-8.627041,PRT1,9,BUS,12,#637939
200,JM1,Junta Massarelos,41.152694,-8.631221,PRT1,10,BUS,12,#637939
200,GGT1,Gólgota,41.152639,-8.633694,PRT1,11,BUS,12,#637939
200,PLNT1,Planetário,41.153094,-8.638289,PRT1,12,BUS,12,#637939
200,FCUP1,Faculdade De Ciências,41.153838,-8.641309,PRT1,13,BUS,12,#637939
200,JB1,Jardim Botânico,41.154528,-8.644222,PRT1,14,BUS,12,#637939
200,LRD1,Lordelo,41.154389,-8.649028,OUT,15,BUS,28,#FDD0A2
200,PLM1,Palmeiras,41.152356,-8.652107,PRT2,16,BUS,13,#8C6D31
200,FLUN1,Fluvial (norte),41.152139,-8.655194,PRT2,17,BUS,13,#8C6D31
200,PG1,Paulo Da Gama,41.150856,-8.658707,PRT2,18,BUS,13,#8C6D31
200,PT3,Pasteleira,41.150486,-8.661488,PRT2,19,BUS,13,#8C6D31
200,TRR3,Torres,41.150749,-8.664619,PRT2,20,BUS,13,#8C6D31
200,PCL1,Padre Luis Cabral,41.151806,-8.668056,PRT2,21,BUS,13,#8C6D31
