route_code,stop_code,stop_name,latitude,longitude,zone_code,sequence,transport_type,zone_id,hex_color
500,1SBNT,S.bento,41.144713,-8.610836,PRT1,1,BUS,12,#FCD116
500,MS2,Mouzinho  Silveira,41.14339,-8.61331,PRT1,2,BUS,12,#FCD116
500,RBRI1,Ribeira (infante),41.14076,-8.617,PRT1,3,BUS,12,#FCD116
500,MRG1,Miragaia,41.14146,-8.61853,PRT1,4,BUS,12,#FCD116
500,ALFG1,Alfândega,41.14379,-8.622006,PRT1,5,BUS,12,#FCD116
500,MON1,Monchique,41.144724,-8.627238,PRT1,6,BUS,12,#FCD116
500,MCE1,Museu C. Eléctrico,41.146724,-8.632303,PRT1,7,BUS,12,#FCD116
500,BIC1,Bicalho,41.14832,-8.63701,PRT1,8,BUS,12,#FCD116
500,PARR2,Ponte Da Arrábida,41.14841,-8.640905,PRT1,9,BUS,12,#FCD116
500,ENCO1,Encosta Da Arrábida,41.148209,-8.644155,PRT2,10,BUS,12,#FCD116
500,OURO1,Ouro,41.148474,-8.647591,PRT2,11,BUS,12,#FCD116
500,CRVH2,Cordoaria Velha,41.148046,-8.650437,PRT2,12,BUS,12,#FCD116
500,FLU2,Fluvial,41.148545,-8.65371,PRT2,13,BUS,12,#FCD116
500,DL2,D. Leonor,41.147163,-8.660278,PRT2,14,BUS,12,#FCD116
500,CNT2,Cantareira,41.148042,-8.665293,PRT2,15,BUS,12,#FCD116
500,IFOZ1,Igreja Da Foz,41.148398,-8.669417,PRT2,16,BUS,12,#FCD116
500,PASS3,Passeio Alegre,41.149144,-8.672094,PRT2,17,BUS,12,#FCD116
500,SRLZ1,Senhora Da Luz,41.150033,-8.675876,PRT2,18,BUS,12,#FCD116
500,PING1,Praia Dos Ingleses,41.151624,-8.676901,PRT2,19,BUS,12,#FCD116
500,PLUZ1,Praia Da Luz,41.153626,-8.678787,PRT2,20,BUS,12,#FCD116
500,PGON1,Praia De Gondarém,41.155623,-8.68046,PRT2,21,BUS,12,#FCD116
500,CRTO1,Crasto,41.157434,-8.681984,PRT2,22,BUS,12,#FCD116
500,MLH1,Molhe,41.159754,-8.683879,PRT2,23,BUS,12,#FCD116
500,HMLM3,Homem Do Leme,41.163454,-8.685965,PRT2,24,BUS,12,#FCD116
500,TIM1,Timor,41.165587,-8.68717,PRT2,25,BUS,12,#FCD116
500,CQ5,Sea Life Castelo Do Queijo,41.168236,-8.687849,PRT2,26,BUS,12,#FCD116
500,PCID1,Pr. Cid. Salvador,41.173823,-8.688603,PRT2,27,BUS,12,#FCD116
500,SAR1,Sousa Aroso,41.176213,-8.68903,MTS1,28,BUS,12,#FCD116
500,AVM1,Av. Menéres,41.178082,-8.689201,MTS1,29,BUS,12,#FCD116
500,MTSP1,Matosinhos Praia,41.180172,-8.68996,MTS1,30,BUS,12,#FCD116
500,GODH5,Godinho,41.181847,-8.692226,MTS1,31,BUS,12,#FCD116
500,LOTA1,Lota,41.183207,-8.693579,MTS1,32,BUS,12,#FCD116
500,SP1,S. Pedro,41.185394,-8.695655,MTS1,33,BUS,12,#FCD116
500,MATM6,Matosinhos Mercado,41.187267,-8.693996,MTS1,34,BUS,12,#FCD116
301,HSJ12,Hosp. S. João (circunvalação),41.183316,-8.600639,PRT3,1,BUS,12,#187EC2
301,IPO5,Ipo (circunval.),41.184504,-8.605666,PRT3,2,BUS,12,#187EC2
301,ST4,S. Tomé,41.183987,-8.609581,PRT3,3,BUS,12,#187EC2
301,IB2,Ilha Brava,41.181592,-8.609486,PRT3,4,BUS,12,#187EC2
301,ISEP2,I.s.e.p.,41.178296,-8.609317,PRT3,5,BUS,12,#187EC2
301,AVTE2,Almeida Valente,41.17682,-8.611525,PRT3,6,BUS,12,#187EC2
301,TLHR3,R.telheira,41.177829,-8.614611,PRT3,7,BUS,12,#187EC2
301,MIS4,Miosótis,41.178062,-8.618982,PRT2,8,BUS,12,#187EC2
301,BRA5,Br. Do Amial,41.176833,-8.62,PRT2,9,BUS,12,#187EC2
301,STLZ2,S.ta Luzia,41.177376,-8.624953,PRT2,10,BUS,12,#187EC2
301,PPR2,Parque Da Prelada,41.175073,-8.627708,PRT2,11,BUS,12,#187EC2
301,CI22,Cintura Interna,41.172063,-8.626326,PRT1,12,BUS,12,#187EC2
301,HPRL2,Hosp. Prelada,41.170099,-8.625925,PRT1,13,BUS,12,#187EC2
301,CVI2,Carvalhido,41.16675,-8.62525,PRT1,14,BUS,12,#187EC2
301,QTAM2,Quinta Amarela,41.162754,-8.624869,PRT1,15,BUS,12,#187EC2
301,CZV2,Cruz Vermelha,41.161306,-8.624778,PRT1,16,BUS,12,#187EC2
301,CMIC2,Carolina Michaelis,41.158107,-8.622771,PRT1,17,BUS,12,#187EC2
301,ICDF1,Igreja Cedofeita,41.155825,-8.622266,PRT1,18,BUS,12,#187EC2
301,CDF2,Cedofeita,41.15453,-8.61893,PRT1,19,BUS,12,#187EC2
301,TRH3,Iscet,41.151883,-8.617813,PRT1,20,BUS,12,#187EC2
301,MATR2,Maternidade,41.150519,-8.621981,PRT1,21,BUS,12,#187EC2
301,MGB2,Miguel Bombarda,41.150028,-8.623055,PRT1,22,BUS,12,#187EC2
301,HSA,Hosp.sto. António,41.146508,-8.620199,PRT1,23,BUS,12,#187EC2
301,CORD7,Cordoaria,41.145224,-8.616026,PRT1,24,BUS,12,#187EC2
301,SBNT2,Est. S.bento,41.145539,-8.610986,PRT1,25,BUS,12,#187EC2
301,LPDZ,L.go 1º Dezembro,41.14315,-8.60897,PRT1,26,BUS,12,#187EC2
301,BTLH6,Batalha,41.144912,-8.604411,PRT1,27,BUS,12,#187EC2
301,SLZ1,S. Lázaro,41.145505,-8.602728,PRT1,28,BUS,12,#187EC2
301,PDR4,Padrão,41.146694,-8.601004,PRT1,29,BUS,12,#187EC2
301,C24A1,Campo 24 De Agosto,41.148755,-8.598393,PRT1,30,BUS,12,#187EC2
301,BL4,Barros Lima,41.154809,-8.595495,PRT1,31,BUS,12,#187EC2
301,ESR1,Esc.soares Dos Reis,41.158061,-8.593543,PRT1,32,BUS,12,#187EC2
301,SCRP5,S. Crispim,41.160844,-8.591928,PRT1,33,BUS,12,#187EC2
301,MAV1,Monte Aventino,41.163097,-8.590204,PRT1,34,BUS,12,#187EC2
301,ANT1,Antas (l. Cidadão),41.165462,-8.588749,PRT1,35,BUS,12,#187EC2
301,RC1,R. Contumil,41.16969,-8.58681,PRT3,36,BUS,12,#187EC2
301,BRRS1,Barrocas,41.17244,-8.58749,PRT3,37,BUS,12,#187EC2
301,DESS2,Dr. Eduardo Santos Silva,41.174694,-8.588166,PRT3,38,BUS,12,#187EC2
301,IARS2,Igreja Areosa,41.176666,-8.587737,PRT3,39,BUS,12,#187EC2
301,FOUT2,Fonte Do Outeiro,41.177395,-8.589849,PRT3,40,BUS,12,#187EC2
301,PDLF2,Pavilhão Desportivo Luís Falcão,41.177066,-8.594781,PRT3,41,BUS,12,#187EC2
301,FEUP1,Faculdade De Engenharia,41.179298,-8.598458,PRT3,42,BUS,12,#187EC2
301,ESED1,Esc. Sup. Educação,41.180833,-8.59775,PRT3,43,BUS,12,#187EC2
301,HSJ12,Hosp. S. João (circunvalação),41.183316,-8.600639,PRT3,44,BUS,12,#187EC2
507,CORD3,Cordoaria,41.146386,-8.615212,PRT1,1,BUS,12,#FCD116
507,CMO,Carmo,41.147223,-8.616926,PRT1,2,BUS,12,#FCD116
507,HSA5,Hosp. St. António,41.147766,-8.62245,PRT1,3,BUS,12,#FCD116
