capacity,type
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
60,BUS
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
200,METRO
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
350,TRAIN
